# Mapping file for sectoral emisisons to Hector global total emissions,,,
variable,sector,hector_variable,source
NH3,2C4_Non-Ferrous-other-metals,NH3_emissions,CEDS
NH3,2D_Chemical-products-manufacture-processing,NH3_emissions,CEDS
NH3,2D_Degreasing-Cleaning,NH3_emissions,CEDS
NH3,2D_Other-product-use,NH3_emissions,CEDS
NH3,2D_Paint-application,NH3_emissions,CEDS
NH3,2H_Pulp-and-paper-food-beverage-wood,NH3_emissions,CEDS
NH3,2L_Other-process-emissions,NH3_emissions,CEDS
NH3,3B_Manure-management,NH3_emissions,CEDS
NH3,3D_Rice-Cultivation,NH3_emissions,CEDS
NH3,3D_Soil-emissions,NH3_emissions,CEDS
NH3,3E_Enteric-fermentation,NH3_emissions,CEDS
NH3,3I_Agriculture-other,NH3_emissions,CEDS
NH3,5A_Solid-waste-disposal,NH3_emissions,CEDS
NH3,5C_Waste-combustion,NH3_emissions,CEDS
NH3,5D_Wastewater-handling,NH3_emissions,CEDS
NH3,5E_Other-waste-handling,NH3_emissions,CEDS
NH3,6A_Other-in-total,NH3_emissions,CEDS
NH3,6B_Other-not-in-total,NH3_emissions,CEDS
NH3,7A_Fossil-fuel-fires,NH3_emissions,CEDS
NH3,7BC_Indirect-N2O-non-agricultural-N,NH3_emissions,CEDS
NMVOC,1A1a_Electricity-autoproducer,NMVOC_emissions,CEDS
NMVOC,1A1a_Electricity-public,NMVOC_emissions,CEDS
NMVOC,1A1a_Heat-production,NMVOC_emissions,CEDS
NMVOC,1A1bc_Other-transformation,NMVOC_emissions,CEDS
NMVOC,1A2a_Ind-Comb-Iron-steel,NMVOC_emissions,CEDS
NMVOC,1A2b_Ind-Comb-Non-ferrous-metals,NMVOC_emissions,CEDS
NMVOC,1A2c_Ind-Comb-Chemicals,NMVOC_emissions,CEDS
NMVOC,1A2d_Ind-Comb-Pulp-paper,NMVOC_emissions,CEDS
NMVOC,1A2e_Ind-Comb-Food-tobacco,NMVOC_emissions,CEDS
NMVOC,1A2f_Ind-Comb-Non-metalic-minerals,NMVOC_emissions,CEDS
NMVOC,1A2g_Ind-Comb-Construction,NMVOC_emissions,CEDS
NMVOC,1A2g_Ind-Comb-machinery,NMVOC_emissions,CEDS
