; TODO add documenation
; commit 1a48da31925b0dd
; date Tue Nov 11 12:03:20 2025
; UNITS:, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Tg CH4, Gg, Gg, Gg, Gg, Tg N, W/m2, W/m2, Gg, Gg, Gg
Date,CCl4_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CFC11_emissions,CFC12_emissions,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_emissions,CH4N,HCFC141b_emissions,HCFC142b_emissions,HCFC22_emissions,HFC4310_emissions,N2O_natural_emissions,RF_albedo,SV,halon1211_emissions,halon1301_emissions,halon2402_emissions
2134,0.190317333,0,0,0.053029059,0.855848,0.00928,87.90046933,0,3567.168973,219.7035693491568,0.9282726,0.016185579,0.006982833,0.20825565100000001,10.262198914768788,-0.150794242258365,0,0.006186667,0.041450667,0.006264
2135,0.188676667,0,0,0.052571912,0.84847,0.0092,87.14270667,0,3536.417517,219.7035693491568,0.92027025,0.016046048,0.006922637,0.206460343,10.262198914768788,-0.150378534980651,0,0.006133333,0.041093333,0.00621
2136,0.187036,0,0,0.052114765,0.841092,0.00912,86.384944,0,3505.66606,219.7035693491568,0.9122679,0.015906517,0.00686244,0.204665036,10.262198914768788,-0.149990541521451,0,0.00608,0.040736,0.006156
2137,0.185395333,0,0,0.051657618,0.833714,0.00904,85.62718133,0,3474.914603,219.7035693491568,0.90426555,0.015766986,0.006802243,0.202869729,10.262198914768788,-0.149630261880765,0,0.006026667,0.040378667,0.006102
2138,0.183754667,0,0,0.051200471,0.826336,0.00896,84.86941867,0,3444.163147,219.7035693491568,0.8962632,0.015627456,0.006742046,0.201074421,10.262198914768788,-0.149297696058593,0,0.005973333,0.040021333,0.006048
2139,0.182114,0,0,0.050743324,0.818958,0.00888,84.111656,0,3413.41169,219.7035693491568,0.88826085,0.015487925,0.006681849,0.199279114,10.262198914768788,-0.148992844054936,0,0.00592,0.039664,0.005994
2140,0.180473333,0,0,0.050286177,0.81158,0.0088,83.35389333,0,3382.660233,219.7035693491568,0.8802585,0.015348394,0.006621652,0.197483807,10.262198914768788,-0.148715705869793,0,0.005866667,0.039306667000000003,0.00594
2141,0.178832667,0,0,0.04982903,0.804202,0.00872,82.59613067,0,3351.908777,219.7035693491568,0.87225615,0.015208863,0.006561456,0.195688499,10.262198914768788,-0.148466281503165,0,0.005813333,0.038949333,0.005886
2142,0.177192,0,0,0.049371882,0.796824,0.00864,81.838368,0,3321.15732,219.7035693491568,0.8642538,0.015069332,0.006501259,0.193893192,10.262198914768788,-0.14824457095505,0,0.00576,0.038592,0.005832
2143,0.175551333,0,0,0.048914735,0.789446,0.00856,81.08060533,0,3290.405863,219.7035693491568,0.85625145,0.014929801,0.006441062,0.192097885,10.262198914768788,-0.14805057422545,0,0.005706667,0.038234667,0.005778
2144,0.173910667,0,0,0.048457588,0.782068,0.00848,80.32284267,0,3259.654407,219.7035693491568,0.8482491,0.01479027,0.006380865,0.190302577,10.262198914768788,-0.147884291314364,0,0.005653333,0.037877333,0.005724
2145,0.17227,0,0,0.048000441,0.77469,0.0084,79.56508,0,3228.90295,219.7035693491568,0.84024675,0.01465074,0.006320668,0.18850727,10.262198914768788,-0.147745722221793,0,0.0056,0.03752,0.00567
2146,0.170629333,0,0,0.047543294,0.767312,0.00832,78.80731733,0,3198.151493,219.7035693491568,0.8322444,0.014511209,0.006260471,0.186711963,10.262198914768788,-0.147634866947736,0,0.005546667,0.037162667,0.005616
2147,0.168988667,0,0,0.047086147,0.759934,0.00824,78.04955467,0,3167.400037,219.7035693491568,0.82424205,0.014371678,0.006200275,0.184916655,10.262198914768788,-0.147551725492193,0,0.005493333,0.036805333,0.005562
2148,0.167348,0,0,0.046629,0.752556,0.00816,77.291792,0,3136.64858,219.7035693491568,0.8162397,0.014232147,0.006140078,0.183121348,10.262198914768788,-0.147496297855164,0,0.00544,0.036448,0.005508
